permno,adate,qdate,public_date,bm,TICKER
21020,2021-12-31,2022-06-30,2022-08-31,,AAL
21020,2021-12-31,2022-06-30,2022-09-30,,AAL
21020,2021-12-31,2022-06-30,2022-10-31,,AAL
21020,2021-12-31,2022-09-30,2022-11-30,,AAL
21020,2021-12-31,2022-09-30,2022-12-31,,AAL
21514,1978-12-31,1979-09-30,1980-01-31,0.876,NRG
21514,1979-12-31,1979-12-31,1980-02-29,0.772,NRG
21514,1979-12-31,1979-12-31,1980-03-31,0.772,NRG
21514,1979-12-31,1979-12-31,1980-04-30,0.772,NRG
21514,1979-12-31,1980-03-31,1980-05-31,0.907,NRG
21514,1979-12-31,1980-03-31,1980-06-30,0.907,NRG
21514,1979-12-31,1980-03-31,1980-07-31,0.907,NRG
21514,1979-12-31,1980-06-30,1980-08-31,0.853,NRG
21514,1979-12-31,1980-06-30,1980-09-30,0.853,NRG
21514,1979-12-31,1980-06-30,1980-10-31,0.853,NRG
21514,1979-12-31,1980-09-30,1980-11-30,0.868,NRG
21514,1979-12-31,1980-09-30,1980-12-31,0.868,NRG
21514,1979-12-31,1980-09-30,1981-01-31,0.868,NRG
21514,1980-12-31,1980-12-31,1981-02-28,0.717,NRG
21514,1980-12-31,1980-12-31,1981-03-31,0.717,NRG
21514,1980-12-31,1980-12-31,1981-04-30,0.717,NRG
21514,1980-12-31,1981-03-31,1981-05-31,0.844,NRG
21514,1980-12-31,1981-03-31,1981-06-30,0.844,NRG
21514,1980-12-31,1981-03-31,1981-07-31,0.844,NRG
21514,1980-12-31,1981-06-30,1981-08-31,0.717,NRG
21514,1980-12-31,1981-06-30,1981-09-30,0.717,NRG
21514,1980-12-31,1981-06-30,1981-10-31,0.717,NRG
21514,1980-12-31,1981-09-30,1981-11-30,0.717,NRG
21514,1980-12-31,1981-09-30,1981-12-31,0.717,NRG
21514,1980-12-31,1981-09-30,1982-01-31,0.717,NRG
21514,1981-12-31,1981-12-31,1982-02-28,0.933,NRG
21514,1981-12-31,1981-12-31,1982-03-31,0.933,NRG
21514,1981-12-31,1981-12-31,1982-04-30,0.933,NRG
21514,1981-12-31,1982-03-31,1982-05-31,1.362,SNT
21514,1981-12-31,1982-03-31,1982-06-30,1.362,SNT
21514,1981-12-31,1982-03-31,1982-07-31,1.362,SNT
21514,1981-12-31,1982-06-30,1982-08-31,1.345,SNT
21514,1981-12-31,1982-06-30,1982-09-30,1.345,SNT
21514,1981-12-31,1982-06-30,1982-10-31,1.345,SNT
21514,1981-12-31,1982-09-30,1982-11-30,1.407,SNT
21514,1981-12-31,1982-09-30,1982-12-31,1.407,SNT
21514,1981-12-31,1982-09-30,1983-01-31,1.407,SNT
21514,1982-12-31,1982-12-31,1983-02-28,1.440,SNT
21514,1982-12-31,1982-12-31,1983-03-31,1.440,SNT
21514,1982-12-31,1982-12-31,1983-04-30,1.440,SNT
21514,1982-12-31,1983-03-31,1983-05-31,1.608,SNT
21514,1982-12-31,1983-03-31,1983-06-30,1.608,SNT
21514,1982-12-31,1983-03-31,1983-07-31,1.608,SNT
21514,1982-12-31,1983-06-30,1983-08-31,1.222,SNT
21514,1982-12-31,1983-06-30,1983-09-30,1.222,SNT
21514,1982-12-31,1983-06-30,1983-10-31,1.222,SNT
21514,1982-12-31,1983-09-30,1983-11-30,1.106,SNT
21514,1982-12-31,1983-09-30,1983-12-31,1.106,SNT
21514,1982-12-31,1983-09-30,1984-01-31,1.106,SNT
21514,1983-12-31,1983-12-31,1984-02-29,1.296,SNT
21514,1983-12-31,1983-12-31,1984-03-31,1.296,SNT
21514,1983-12-31,1983-12-31,1984-04-30,1.296,SNT
21514,1983-12-31,1984-03-31,1984-05-31,1.189,SNT
21514,1983-12-31,1984-03-31,1984-06-30,1.189,SNT
21514,1983-12-31,1984-03-31,1984-07-31,1.189,SNT
21514,1983-12-31,1984-06-30,1984-08-31,1.417,SNT
